Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,KitchenQual,GarageCars,PoolQC,MoSold,YrSold,SaleType,SalePrice
69,30,RM,47,4608,Corner,OldTown,1Fam,1Story,4,1945,1950,TA,TA,1,NA,6,2010,WD,80000
70,50,RL,81,15593,Corner,ClearCr,1Fam,1.5Fin,7,1953,1953,Gd,TA,2,NA,7,2006,WD,225000
71,20,RL,95,13651,Inside,NAmes,1Fam,1Story,7,1973,1973,TA,TA,2,NA,2,2007,WD,244000
72,20,RL,69,7599,Corner,Mitchel,1Fam,1Story,4,1982,2006,TA,TA,2,NA,6,2007,WD,129500
73,60,RL,74,10141,Corner,Gilbert,1Fam,2Story,7,1998,1998,TA,TA,2,NA,12,2009,WD,185000
74,20,RL,85,10200,Inside,NAmes,1Fam,1Story,5,1954,2003,TA,TA,2,NA,5,2010,WD,144900
75,50,RM,60,5790,Corner,OldTown,1Fam,2Story,3,1915,1950,Gd,TA,1,NA,5,2010,WD,107400
76,180,RM,21,1596,Inside,MeadowV,Twnhs,SLvl,4,1973,1973,TA,TA,1,NA,11,2009,WD,91000
77,20,RL,NA,8475,Inside,NAmes,1Fam,1Story,4,1956,1956,TA,TA,1,NA,4,2008,WD,135750
78,50,RM,50,8635,Inside,BrkSide,1Fam,1.5Fin,5,1948,2001,TA,TA,1,NA,1,2008,WD,127000
79,90,RL,72,10778,Inside,Sawyer,Duplex,1Story,4,1968,1968,TA,TA,0,NA,4,2010,WD,136500
80,50,RM,60,10440,Corner,OldTown,1Fam,2Story,5,1910,1981,TA,TA,2,NA,5,2009,WD,110000
81,60,RL,100,13000,Corner,NAmes,1Fam,2Story,6,1968,1968,TA,Gd,1,NA,6,2009,WD,193500
82,120,RM,32,4500,FR2,Mitchel,TwnhsE,1Story,6,1998,1998,TA,TA,2,NA,3,2006,WD,153500
83,20,RL,78,10206,Inside,Somerst,1Fam,1Story,8,2007,2007,TA,Gd,3,NA,10,2008,WD,245000
84,20,RL,80,8892,Inside,NAmes,1Fam,1Story,5,1960,1960,TA,TA,2,NA,7,2007,COD,126500
85,80,RL,NA,8530,Inside,Gilbert,1Fam,SLvl,7,1995,1996,TA,TA,2,NA,5,2009,WD,168500
86,60,RL,121,16059,Corner,NoRidge,1Fam,2Story,8,1991,1992,Gd,Gd,2,NA,4,2006,WD,260000
87,60,RL,122,11911,Inside,Gilbert,1Fam,2Story,6,2005,2005,Gd,Gd,2,NA,3,2009,WD,174000
88,160,FV,40,3951,Corner,Somerst,TwnhsE,2Story,6,2009,2009,Gd,Gd,2,NA,6,2009,New,164500
89,50,C (all),105,8470,Corner,IDOTRR,1Fam,1.5Fin,3,1915,1982,Fa,Fa,0,NA,10,2009,ConLD,85000
90,20,RL,60,8070,Inside,CollgCr,1Fam,1Story,4,1994,1995,TA,TA,0,NA,8,2007,WD,123600
91,20,RL,60,7200,Inside,NAmes,1Fam,1Story,4,1950,1950,TA,TA,2,NA,7,2006,WD,109900
92,20,RL,85,8500,Inside,NAmes,1Fam,1Story,5,1961,1961,TA,TA,2,NA,12,2006,WD,98600
93,30,RL,80,13360,Inside,Crawfor,1Fam,1Story,5,1921,2006,TA,TA,2,NA,8,2009,WD,163500
94,190,C (all),60,7200,Corner,OldTown,2fmCon,2.5Unf,6,1910,1998,TA,TA,2,NA,11,2007,WD,133900
95,60,RL,69,9337,Inside,CollgCr,1Fam,2Story,6,1997,1997,TA,Gd,2,NA,5,2007,WD,204750
96,60,RL,NA,9765,Corner,Gilbert,1Fam,2Story,6,1993,1993,Ex,TA,2,NA,4,2009,WD,185000
97,20,RL,78,10264,Inside,CollgCr,1Fam,1Story,7,1999,1999,Gd,Gd,2,NA,8,2006,WD,214000
98,20,RL,73,10921,Inside,Edwards,1Fam,1Story,4,1965,1965,TA,TA,1,NA,5,2007,WD,94750
99,30,RL,85,10625,Corner,Edwards,1Fam,1Story,5,1920,1950,TA,TA,1,NA,5,2010,COD,83000
100,20,RL,77,9320,Inside,NAmes,1Fam,1Story,4,1959,1959,TA,TA,0,NA,1,2010,WD,128950
101,20,RL,NA,10603,Inside,NWAmes,1Fam,1Story,6,1977,2001,TA,Gd,2,NA,2,2010,WD,205000
102,60,RL,77,9206,Inside,SawyerW,1Fam,2Story,6,1985,1985,Gd,Gd,2,NA,6,2010,WD,178000
103,90,RL,64,7018,Inside,SawyerW,Duplex,1Story,5,1979,1979,TA,TA,2,NA,6,2009,WD,118964
104,20,RL,94,10402,Corner,CollgCr,1Fam,1Story,7,2009,2009,TA,Gd,3,NA,5,2010,WD,198900
105,50,RM,NA,7758,Corner,IDOTRR,1Fam,1.5Fin,7,1931,1950,TA,TA,1,NA,6,2007,WD,169500
106,60,FV,75,9375,Inside,Somerst,1Fam,2Story,8,2003,2004,Gd,Gd,2,NA,8,2008,WD,250000
107,30,RM,60,10800,Inside,OldTown,1Fam,1Story,4,1885,1995,TA,TA,1,NA,8,2007,WD,100000
108,20,RM,50,6000,Inside,OldTown,1Fam,1Story,5,1948,1950,TA,TA,1,NA,4,2008,WD,115000
109,50,RM,85,8500,Corner,IDOTRR,1Fam,1.5Fin,5,1919,2005,TA,Fa,0,NA,8,2007,WD,115000
110,20,RL,105,11751,Inside,NWAmes,1Fam,1Story,6,1977,1977,TA,TA,2,NA,1,2010,COD,190000
111,50,RL,75,9525,Inside,Edwards,1Fam,1.5Fin,6,1954,1972,TA,TA,1,NA,10,2006,WD,136900
112,80,RL,NA,7750,Inside,Gilbert,1Fam,SLvl,7,2000,2000,TA,TA,2,NA,4,2010,WD,180000
113,60,RL,77,9965,Inside,CollgCr,1Fam,2Story,7,2007,2007,Gd,Ex,3,NA,10,2007,New,383970
114,20,RL,NA,21000,Corner,Crawfor,1Fam,1Story,6,1953,1953,TA,Gd,2,NA,10,2007,COD,217000
115,70,RL,61,7259,Inside,Crawfor,1Fam,2Story,6,1945,2002,TA,Gd,1,NA,7,2007,WD,259500
116,160,FV,34,3230,Corner,Somerst,TwnhsE,2Story,6,1999,1999,TA,TA,2,NA,6,2007,WD,176000
117,20,RL,NA,11616,Inside,Sawyer,1Fam,1Story,5,1962,1962,TA,TA,1,NA,9,2009,WD,139000
118,20,RL,74,8536,Corner,Edwards,1Fam,1Story,5,2006,2007,TA,TA,2,NA,4,2007,New,155000
119,60,RL,90,12376,Corner,SawyerW,1Fam,2Story,7,1990,1990,TA,Gd,3,NA,5,2010,WD,320000
120,60,RL,65,8461,Inside,CollgCr,1Fam,2Story,6,2005,2006,Gd,Gd,2,NA,7,2006,New,163990
121,80,RL,NA,21453,CulDSac,ClearCr,1Fam,SLvl,6,1969,1969,TA,TA,2,NA,10,2006,WD,180000
122,50,RM,50,6060,Inside,IDOTRR,1Fam,1.5Fin,4,1939,1950,TA,TA,1,NA,6,2007,WD,100000
123,20,RL,75,9464,Corner,NAmes,1Fam,1Story,6,1958,1958,TA,TA,1,NA,6,2008,WD,136000
124,120,RL,55,7892,Inside,SawyerW,TwnhsE,1Story,6,1993,1993,Gd,Gd,2,NA,3,2008,WD,153900
125,20,RL,48,17043,CulDSac,NWAmes,1Fam,1Story,6,1979,1998,TA,TA,2,NA,1,2009,WD,181000
126,190,RM,60,6780,Inside,IDOTRR,2fmCon,1.5Fin,6,1935,1982,TA,TA,0,NA,6,2006,WD,84500
127,120,RL,NA,4928,Inside,NPkVill,TwnhsE,1Story,6,1976,1976,TA,TA,2,NA,2,2007,WD,128000
128,45,RM,55,4388,Inside,OldTown,1Fam,1.5Unf,5,1930,1950,TA,TA,0,NA,6,2007,WD,87000
129,60,RL,69,7590,Inside,NAmes,1Fam,2Story,6,1966,1966,TA,TA,2,NA,7,2006,WD,155000
130,20,RL,69,8973,Inside,NAmes,1Fam,1Story,5,1958,1991,TA,Ex,2,NA,7,2006,WD,150000
131,60,RL,88,14200,Corner,NAmes,1Fam,2Story,7,1966,1966,TA,Gd,2,NA,5,2006,WD,226000
132,60,RL,NA,12224,Corner,Gilbert,1Fam,2Story,6,2000,2000,Gd,Gd,2,NA,7,2009,WD,244000
133,20,RL,75,7388,Corner,NAmes,1Fam,1Story,5,1959,2002,TA,Gd,2,NA,7,2007,WD,150750
134,20,RL,NA,6853,Inside,Timber,1Fam,1Story,8,2001,2002,Gd,Gd,2,NA,6,2009,WD,220000
135,20,RL,78,10335,Inside,Sawyer,1Fam,1Story,5,1968,1993,TA,TA,2,NA,7,2006,WD,180000
136,20,RL,80,10400,Inside,NWAmes,1Fam,1Story,7,1970,1970,TA,TA,2,NA,5,2008,WD,174000
137,20,RL,NA,10355,Corner,NAmes,1Fam,1Story,5,1967,1967,TA,TA,1,NA,7,2007,WD,143000
138,90,RL,82,11070,Inside,Mitchel,Duplex,1Story,7,1988,1989,TA,TA,3,NA,7,2006,WD,171000
139,60,RL,73,9066,Inside,CollgCr,1Fam,2Story,8,1999,2000,Gd,Gd,3,NA,12,2008,WD,230000
140,60,RL,65,15426,Inside,CollgCr,1Fam,2Story,6,1997,1997,TA,Gd,2,NA,8,2009,WD,231500
141,20,RL,70,10500,FR2,NAmes,1Fam,1Story,4,1971,1971,TA,TA,0,NA,4,2010,ConLI,115000
142,20,RL,78,11645,Inside,CollgCr,1Fam,1Story,7,2005,2005,Gd,Gd,2,NA,1,2006,WD,260000
143,50,RL,71,8520,Corner,NAmes,1Fam,1.5Fin,5,1952,1952,TA,TA,2,NA,6,2010,WD,166000
144,20,RL,78,10335,Inside,CollgCr,1Fam,1Story,7,1999,1999,Gd,Gd,2,NA,6,2009,WD,204000
145,90,RM,70,9100,Inside,Sawyer,Duplex,1Story,5,1963,1963,TA,TA,2,NA,11,2006,ConLI,125000
146,160,RM,24,2522,Inside,Edwards,Twnhs,2Story,6,2004,2006,Gd,Gd,2,NA,4,2006,WD,130000
147,30,RM,51,6120,Corner,BrkSide,1Fam,1Story,5,1931,1993,TA,TA,1,NA,11,2009,WD,105000
148,60,RL,NA,9505,CulDSac,Gilbert,1Fam,2Story,7,2001,2001,Gd,Gd,2,NA,5,2010,WD,222500
149,20,RL,63,7500,Inside,SawyerW,1Fam,1Story,7,2004,2005,TA,Gd,0,NA,4,2008,WD,141000
150,50,RM,NA,6240,Inside,BrkSide,1Fam,1.5Fin,5,1936,1950,TA,TA,1,NA,4,2006,WD,115000
151,20,RL,120,10356,Corner,CollgCr,1Fam,1Story,5,1975,1975,TA,TA,2,NA,1,2007,WD,122000
152,20,RL,107,13891,Inside,NridgHt,1Fam,1Story,8,2007,2008,Gd,Gd,3,NA,1,2008,New,372402
153,60,RL,NA,14803,CulDSac,NWAmes,1Fam,2Story,6,1971,1971,TA,TA,2,NA,6,2006,WD,190000
154,20,RL,NA,13500,Inside,ClearCr,1Fam,1Story,6,1960,1975,TA,TA,2,NA,3,2008,WD,235000
155,30,RM,84,11340,Corner,OldTown,1Fam,1Story,6,1923,1950,TA,TA,1,NA,3,2006,WD,125000
156,50,RL,60,9600,Corner,Edwards,1Fam,1.5Fin,6,1924,1950,TA,TA,0,NA,4,2008,WD,79000
157,20,RL,60,7200,Inside,NAmes,1Fam,1Story,5,1950,1950,TA,TA,2,NA,6,2006,WD,109500
158,60,RL,92,12003,Corner,Timber,1Fam,2Story,8,2009,2010,Gd,Ex,3,NA,5,2010,New,269500
159,60,FV,100,12552,Corner,Somerst,1Fam,2Story,7,2004,2005,Gd,Gd,2,NA,5,2010,WD,254900
160,60,RL,134,19378,Corner,Gilbert,1Fam,2Story,7,2005,2006,Gd,Gd,2,NA,3,2006,New,320000
161,20,RL,NA,11120,CulDSac,Veenker,1Fam,1Story,6,1984,1984,TA,TA,2,NA,6,2008,WD,162500
162,60,RL,110,13688,Inside,NridgHt,1Fam,2Story,9,2003,2004,Gd,Ex,3,NA,3,2008,WD,412500
163,20,RL,95,12182,Corner,NridgHt,1Fam,1Story,7,2005,2005,Gd,Gd,2,NA,5,2010,New,220000
164,45,RL,55,5500,Inside,OldTown,1Fam,1.5Unf,4,1956,1956,TA,TA,0,NA,4,2007,WD,103200
165,40,RM,40,5400,Corner,OldTown,1Fam,1Story,6,1926,2004,TA,Gd,1,NA,10,2007,WD,152000
166,190,RL,62,10106,Inside,Edwards,2fmCon,1.5Fin,5,1940,1999,TA,TA,0,NA,9,2008,WD,127500
167,20,RL,NA,10708,Inside,ClearCr,1Fam,1Story,5,1955,1993,Gd,TA,1,NA,11,2009,COD,190000
168,60,RL,86,10562,Inside,NridgHt,1Fam,2Story,8,2007,2007,Gd,Ex,3,NA,11,2007,New,325624
169,60,RL,62,8244,Inside,Gilbert,1Fam,2Story,7,2004,2004,Gd,Gd,2,NA,5,2007,WD,183500
170,20,RL,NA,16669,Corner,Timber,1Fam,1Story,8,1981,1981,Gd,TA,2,NA,1,2006,WD,228000
171,50,RM,NA,12358,Inside,OldTown,1Fam,1.5Fin,5,1941,1950,TA,TA,2,NA,5,2007,WD,128500
172,20,RL,141,31770,Corner,NAmes,1Fam,1Story,6,1960,1960,TA,TA,2,NA,5,2010,WD,215000
173,160,RL,44,5306,Inside,StoneBr,TwnhsE,2Story,7,1987,1987,Gd,Gd,2,NA,6,2006,WD,239000
174,20,RL,80,10197,Inside,NAmes,1Fam,1Story,6,1961,1961,TA,TA,2,NA,6,2008,COD,163000
175,20,RL,47,12416,Inside,Timber,1Fam,1Story,6,1986,1986,TA,TA,2,NA,11,2008,WD,184000
176,20,RL,84,12615,Corner,Edwards,1Fam,1Story,6,1950,2001,TA,Gd,2,NA,6,2007,WD,243000
177,60,RL,97,10029,Corner,ClearCr,1Fam,2Story,6,1988,1989,Gd,TA,2,NA,9,2007,WD,211000
178,50,RL,NA,13650,Inside,Sawyer,1Fam,1.5Fin,5,1958,1958,Gd,Gd,2,NA,7,2006,WD,172500
179,20,RL,63,17423,CulDSac,StoneBr,1Fam,1Story,9,2008,2009,Ex,Ex,3,NA,7,2009,New,501837
180,30,RM,60,8520,Inside,OldTown,1Fam,1Story,5,1923,2006,Gd,TA,2,NA,7,2007,WD,100000
181,160,FV,NA,2117,Inside,Somerst,Twnhs,2Story,6,2000,2000,Gd,Gd,2,NA,6,2007,WD,177000
182,70,RL,54,7588,Inside,Crawfor,1Fam,2Story,7,1920,1950,TA,TA,1,NA,7,2006,WD,200100
183,20,RL,60,9060,Inside,Edwards,1Fam,1Story,5,1957,2006,TA,TA,1,NA,6,2007,WD,120000
184,50,RM,63,11426,Inside,OldTown,1Fam,1.5Fin,7,2003,2003,TA,Gd,2,NA,6,2008,WD,200000
185,50,RL,92,7438,Inside,BrkSide,1Fam,1.5Fin,5,1908,1991,TA,TA,2,NA,6,2006,WD,127000
186,75,RM,90,22950,Inside,OldTown,1Fam,2.5Fin,10,1892,1993,Gd,Ex,3,NA,6,2006,WD,475000
187,80,RL,NA,9947,CulDSac,Mitchel,1Fam,SLvl,7,1990,1991,TA,Gd,2,NA,6,2009,WD,173000
188,50,RL,60,10410,Inside,OldTown,1Fam,1.5Fin,5,1916,1987,TA,TA,1,NA,8,2009,WD,135000
189,90,RL,64,7018,Inside,SawyerW,Duplex,SFoyer,5,1979,1979,TA,TA,2,NA,6,2009,WD,153337
190,120,RL,41,4923,Inside,StoneBr,TwnhsE,1Story,8,2001,2002,Gd,Ex,2,NA,8,2008,WD,286000
191,70,RL,70,10570,Inside,Crawfor,1Fam,2Story,8,1932,1994,Gd,Gd,2,NA,12,2007,WD,315000
192,60,RL,NA,7472,CulDSac,NAmes,1Fam,2Story,7,1972,2004,TA,Gd,2,NA,6,2007,WD,184000
193,20,RL,68,9017,Inside,CollgCr,1Fam,1Story,7,1999,1999,Gd,Gd,2,NA,9,2009,WD,192000
194,160,RM,24,2522,Inside,Edwards,Twnhs,2Story,7,2004,2004,Gd,Gd,2,NA,5,2006,WD,130000
195,20,RL,60,7180,Inside,CollgCr,1Fam,1Story,5,1972,1972,TA,TA,1,NA,5,2008,WD,127000
196,160,RL,24,2280,FR2,NPkVill,Twnhs,2Story,6,1976,1976,TA,TA,2,NA,7,2009,WD,148500
197,20,RL,79,9416,Inside,Somerst,1Fam,1Story,7,2007,2007,Ex,Ex,3,NA,9,2007,New,311872
198,75,RL,174,25419,Corner,NAmes,1Fam,2Story,8,1918,1990,Gd,Gd,2,Ex,3,2006,WD,235000
199,75,RM,92,5520,Corner,OldTown,1Fam,2.5Fin,6,1912,1950,TA,TA,0,NA,7,2009,WD,104000
200,20,RL,76,9591,Inside,NridgHt,1Fam,1Story,8,2004,2005,Gd,Ex,3,NA,1,2009,WD,274900
201,20,RM,80,8546,Corner,Edwards,1Fam,1Story,4,2003,2004,TA,TA,2,NA,3,2010,WD,140000
202,20,RL,75,10125,Inside,Mitchel,1Fam,1Story,6,1977,1977,TA,TA,2,NA,2,2008,WD,171500
203,50,RL,50,7000,Corner,OldTown,1Fam,1.5Fin,6,1924,1950,TA,TA,1,NA,5,2006,COD,112000
204,120,RM,NA,4438,Inside,CollgCr,TwnhsE,1Story,6,2004,2004,Gd,Gd,2,NA,1,2008,WD,149000
205,50,RM,50,3500,Inside,OldTown,1Fam,1.5Fin,5,1947,1950,TA,TA,1,NA,4,2009,WD,110000
206,20,RL,99,11851,Corner,Gilbert,1Fam,1Story,7,1990,1990,TA,TA,2,NA,5,2009,WD,180500
207,20,RL,40,13673,CulDSac,Sawyer,1Fam,1Story,5,1962,1962,TA,TA,1,NA,3,2007,WD,143900
208,20,RL,NA,12493,Inside,NAmes,1Fam,1Story,4,1960,1960,TA,TA,1,NA,4,2008,WD,141000
209,60,RL,NA,14364,Inside,SawyerW,1Fam,2Story,7,1988,1989,Gd,TA,2,NA,4,2007,WD,277000
210,20,RL,75,8250,Inside,NAmes,1Fam,1Story,6,1964,1964,TA,TA,2,NA,7,2008,WD,145000
211,30,RL,67,5604,Inside,Edwards,1Fam,1Story,5,1925,1950,TA,TA,0,NA,4,2008,WD,98000
212,20,RL,83,10420,Corner,Edwards,1Fam,1Story,6,2009,2009,TA,Gd,2,NA,3,2010,WD,186000
213,60,FV,72,8640,Inside,Somerst,1Fam,2Story,7,2009,2009,TA,Gd,2,NA,7,2009,New,252678
214,20,RL,43,13568,CulDSac,CollgCr,1Fam,1Story,5,1995,1995,TA,TA,2,NA,7,2006,WD,156000
215,60,RL,NA,10900,FR2,CollgCr,1Fam,2Story,6,1977,1977,TA,TA,1,NA,3,2010,WD,161750
216,20,RL,72,10011,Inside,NAmes,1Fam,1Story,5,1957,1996,TA,Gd,1,NA,5,2006,WD,134450
217,20,RL,65,8450,Inside,CollgCr,1Fam,1Story,7,2004,2004,Gd,Gd,2,NA,4,2008,WD,210000
218,70,RM,57,9906,Inside,OldTown,1Fam,2Story,4,1925,1950,TA,TA,1,NA,9,2006,WD,107000
219,50,RL,NA,15660,Corner,Crawfor,1Fam,1.5Fin,7,1939,2006,Gd,Gd,2,NA,5,2008,WD,311500
220,120,RL,43,3010,Inside,Blmngtn,TwnhsE,1Story,7,2005,2006,Gd,Gd,2,NA,3,2006,New,167240
