,PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
62,63,0,1,male,45.0,83.475,Southhampton
63,64,0,3,male,4.0,27.9,Southhampton
64,65,0,1,male,,27.7208,Cherbourg
65,66,1,3,male,,15.2458,Cherbourg
66,67,1,2,female,29.0,10.5,Southhampton
67,68,0,3,male,19.0,8.1583,Southhampton
68,69,1,3,female,17.0,7.925,Southhampton
69,70,0,3,male,26.0,8.6625,Southhampton
70,71,0,2,male,32.0,10.5,Southhampton
71,72,0,3,female,16.0,46.9,Southhampton
72,73,0,2,male,21.0,73.5,Southhampton
73,74,0,3,male,26.0,14.4542,Cherbourg
74,75,1,3,male,32.0,56.4958,Southhampton
75,76,0,3,male,25.0,7.65,Southhampton
76,77,0,3,male,,7.8958,Southhampton
77,78,0,3,male,,8.05,Southhampton
78,79,1,2,male,0.83,29.0,Southhampton
79,80,1,3,female,30.0,12.475,Southhampton
80,81,0,3,male,22.0,9.0,Southhampton
81,82,1,3,male,29.0,9.5,Southhampton
82,83,1,3,female,,7.7875,Queenstown
83,84,0,1,male,28.0,47.1,Southhampton
84,85,1,2,female,17.0,10.5,Southhampton
85,86,1,3,female,33.0,15.85,Southhampton
86,87,0,3,male,16.0,34.375,Southhampton
87,88,0,3,male,,8.05,Southhampton
88,89,1,1,female,23.0,263.0,Southhampton
89,90,0,3,male,24.0,8.05,Southhampton
90,91,0,3,male,29.0,8.05,Southhampton
91,92,0,3,male,20.0,7.8542,Southhampton
92,93,0,1,male,46.0,61.175,Southhampton
93,94,0,3,male,26.0,20.575,Southhampton
94,95,0,3,male,59.0,7.25,Southhampton
95,96,0,3,male,,8.05,Southhampton
96,97,0,1,male,71.0,34.6542,Cherbourg
97,98,1,1,male,23.0,63.3583,Cherbourg
98,99,1,2,female,34.0,23.0,Southhampton
99,100,0,2,male,34.0,26.0,Southhampton
100,101,0,3,female,28.0,7.8958,Southhampton
101,102,0,3,male,,7.8958,Southhampton
102,103,0,1,male,21.0,77.2875,Southhampton
103,104,0,3,male,33.0,8.6542,Southhampton
104,105,0,3,male,37.0,7.925,Southhampton
105,106,0,3,male,28.0,7.8958,Southhampton
106,107,1,3,female,21.0,7.65,Southhampton
107,108,1,3,male,,7.775,Southhampton
108,109,0,3,male,38.0,7.8958,Southhampton
109,110,1,3,female,,24.15,Queenstown
110,111,0,1,male,47.0,52.0,Southhampton
111,112,0,3,female,14.5,14.4542,Cherbourg
112,113,0,3,male,22.0,8.05,Southhampton
113,114,0,3,female,20.0,9.825,Southhampton
114,115,0,3,female,17.0,14.4583,Cherbourg
115,116,0,3,male,21.0,7.925,Southhampton
116,117,0,3,male,70.5,7.75,Queenstown
117,118,0,2,male,29.0,21.0,Southhampton
118,119,0,1,male,24.0,247.5208,Cherbourg
119,120,0,3,female,2.0,31.275,Southhampton
120,121,0,2,male,21.0,73.5,Southhampton
121,122,0,3,male,,8.05,Southhampton
122,123,0,2,male,32.5,30.0708,Cherbourg
123,124,1,2,female,32.5,13.0,Southhampton
124,125,0,1,male,54.0,77.2875,Southhampton
125,126,1,3,male,12.0,11.2417,Cherbourg
126,127,0,3,male,,7.75,Queenstown
127,128,1,3,male,24.0,7.1417,Southhampton
128,129,1,3,female,,22.3583,Cherbourg
129,130,0,3,male,45.0,6.975,Southhampton
130,131,0,3,male,33.0,7.8958,Cherbourg
131,132,0,3,male,20.0,7.05,Southhampton
132,133,0,3,female,47.0,14.5,Southhampton
133,134,1,2,female,29.0,26.0,Southhampton
134,135,0,2,male,25.0,13.0,Southhampton
135,136,0,2,male,23.0,15.0458,Cherbourg
136,137,1,1,female,19.0,26.2833,Southhampton
137,138,0,1,male,37.0,53.1,Southhampton
138,139,0,3,male,16.0,9.2167,Southhampton
139,140,0,1,male,24.0,79.2,Cherbourg
140,141,0,3,female,,15.2458,Cherbourg
141,142,1,3,female,22.0,7.75,Southhampton
142,143,1,3,female,24.0,15.85,Southhampton
143,144,0,3,male,19.0,6.75,Queenstown
144,145,0,2,male,18.0,11.5,Southhampton
145,146,0,2,male,19.0,36.75,Southhampton
146,147,1,3,male,27.0,7.7958,Southhampton
147,148,0,3,female,9.0,34.375,Southhampton
148,149,0,2,male,36.5,26.0,Southhampton
149,150,0,2,male,42.0,13.0,Southhampton
150,151,0,2,male,51.0,12.525,Southhampton
151,152,1,1,female,22.0,66.6,Southhampton
152,153,0,3,male,55.5,8.05,Southhampton
153,154,0,3,male,40.5,14.5,Southhampton
154,155,0,3,male,,7.3125,Southhampton
155,156,0,1,male,51.0,61.3792,Cherbourg
156,157,1,3,female,16.0,7.7333,Queenstown
157,158,0,3,male,30.0,8.05,Southhampton
158,159,0,3,male,,8.6625,Southhampton
159,160,0,3,male,,69.55,Southhampton
160,161,0,3,male,44.0,16.1,Southhampton
161,162,1,2,female,40.0,15.75,Southhampton
162,163,0,3,male,26.0,7.775,Southhampton
163,164,0,3,male,17.0,8.6625,Southhampton
164,165,0,3,male,1.0,39.6875,Southhampton
165,166,1,3,male,9.0,20.525,Southhampton
166,167,1,1,female,,55.0,Southhampton
167,168,0,3,female,45.0,27.9,Southhampton
168,169,0,1,male,,25.925,Southhampton
169,170,0,3,male,28.0,56.4958,Southhampton
170,171,0,1,male,61.0,33.5,Southhampton
171,172,0,3,male,4.0,29.125,Queenstown
172,173,1,3,female,1.0,11.1333,Southhampton
173,174,0,3,male,21.0,7.925,Southhampton
174,175,0,1,male,56.0,30.6958,Cherbourg
175,176,0,3,male,18.0,7.8542,Southhampton
176,177,0,3,male,,25.4667,Southhampton
177,178,0,1,female,50.0,28.7125,Cherbourg
178,179,0,2,male,30.0,13.0,Southhampton
179,180,0,3,male,36.0,0.0,Southhampton
180,181,0,3,female,,69.55,Southhampton
181,182,0,2,male,,15.05,Cherbourg
182,183,0,3,male,9.0,31.3875,Southhampton
183,184,1,2,male,1.0,39.0,Southhampton
184,185,1,3,female,4.0,22.025,Southhampton
185,186,0,1,male,,50.0,Southhampton
186,187,1,3,female,,15.5,Queenstown
187,188,1,1,male,45.0,26.55,Southhampton
188,189,0,3,male,40.0,15.5,Queenstown
189,190,0,3,male,36.0,7.8958,Southhampton
190,191,1,2,female,32.0,13.0,Southhampton
191,192,0,2,male,19.0,13.0,Southhampton
192,193,1,3,female,19.0,7.8542,Southhampton
193,194,1,2,male,3.0,26.0,Southhampton
194,195,1,1,female,44.0,27.7208,Cherbourg
195,196,1,1,female,58.0,146.5208,Cherbourg
196,197,0,3,male,,7.75,Queenstown
197,198,0,3,male,42.0,8.4042,Southhampton
198,199,1,3,female,,7.75,Queenstown
199,200,0,2,female,24.0,13.0,Southhampton
200,201,0,3,male,28.0,9.5,Southhampton
201,202,0,3,male,,69.55,Southhampton
202,203,0,3,male,34.0,6.4958,Southhampton
203,204,0,3,male,45.5,7.225,Cherbourg
204,205,1,3,male,18.0,8.05,Southhampton
205,206,0,3,female,2.0,10.4625,Southhampton
206,207,0,3,male,32.0,15.85,Southhampton
207,208,1,3,male,26.0,18.7875,Cherbourg
208,209,1,3,female,16.0,7.75,Queenstown
209,210,1,1,male,40.0,31.0,Cherbourg
210,211,0,3,male,24.0,7.05,Southhampton
211,212,1,2,female,35.0,21.0,Southhampton
212,213,0,3,male,22.0,7.25,Southhampton
213,214,0,2,male,30.0,13.0,Southhampton
214,215,0,3,male,,7.75,Queenstown
215,216,1,1,female,31.0,113.275,Cherbourg
216,217,1,3,female,27.0,7.925,Southhampton
217,218,0,2,male,42.0,27.0,Southhampton
218,219,1,1,female,32.0,76.2917,Cherbourg
219,220,0,2,male,30.0,10.5,Southhampton
220,221,1,3,male,16.0,8.05,Southhampton
221,222,0,2,male,27.0,13.0,Southhampton
222,223,0,3,male,51.0,8.05,Southhampton
223,224,0,3,male,,7.8958,Southhampton
224,225,1,1,male,38.0,90.0,Southhampton
225,226,0,3,male,22.0,9.35,Southhampton
226,227,1,2,male,19.0,10.5,Southhampton
227,228,0,3,male,20.5,7.25,Southhampton
228,229,0,2,male,18.0,13.0,Southhampton
229,230,0,3,female,,25.4667,Southhampton
230,231,1,1,female,35.0,83.475,Southhampton
231,232,0,3,male,29.0,7.775,Southhampton
232,233,0,2,male,59.0,13.5,Southhampton
233,234,1,3,female,5.0,31.3875,Southhampton
234,235,0,2,male,24.0,10.5,Southhampton
235,236,0,3,female,,7.55,Southhampton
236,237,0,2,male,44.0,26.0,Southhampton
237,238,1,2,female,8.0,26.25,Southhampton
238,239,0,2,male,19.0,10.5,Southhampton
239,240,0,2,male,33.0,12.275,Southhampton
240,241,0,3,female,,14.4542,Cherbourg
241,242,1,3,female,,15.5,Queenstown
242,243,0,2,male,29.0,10.5,Southhampton
243,244,0,3,male,22.0,7.125,Southhampton
244,245,0,3,male,30.0,7.225,Cherbourg
245,246,0,1,male,44.0,90.0,Queenstown
246,247,0,3,female,25.0,7.775,Southhampton
247,248,1,2,female,24.0,14.5,Southhampton
248,249,1,1,male,37.0,52.5542,Southhampton
249,250,0,2,male,54.0,26.0,Southhampton
250,251,0,3,male,,7.25,Southhampton
251,252,0,3,female,29.0,10.4625,Southhampton
252,253,0,1,male,62.0,26.55,Southhampton
253,254,0,3,male,30.0,16.1,Southhampton
254,255,0,3,female,41.0,20.2125,Southhampton
255,256,1,3,female,29.0,15.2458,Cherbourg
256,257,1,1,female,,79.2,Cherbourg
257,258,1,1,female,30.0,86.5,Southhampton
258,259,1,1,female,35.0,512.3292,Cherbourg
259,260,1,2,female,50.0,26.0,Southhampton
260,261,0,3,male,,7.75,Queenstown
261,262,1,3,male,3.0,31.3875,Southhampton
262,263,0,1,male,52.0,79.65,Southhampton
263,264,0,1,male,40.0,0.0,Southhampton
264,265,0,3,female,,7.75,Queenstown
265,266,0,2,male,36.0,10.5,Southhampton
266,267,0,3,male,16.0,39.6875,Southhampton
267,268,1,3,male,25.0,7.775,Southhampton
268,269,1,1,female,58.0,153.4625,Southhampton
269,270,1,1,female,35.0,135.6333,Southhampton
270,271,0,1,male,,31.0,Southhampton
271,272,1,3,male,25.0,0.0,Southhampton
272,273,1,2,female,41.0,19.5,Southhampton
273,274,0,1,male,37.0,29.7,Cherbourg
274,275,1,3,female,,7.75,Queenstown
275,276,1,1,female,63.0,77.9583,Southhampton
276,277,0,3,female,45.0,7.75,Southhampton
277,278,0,2,male,,0.0,Southhampton
278,279,0,3,male,7.0,29.125,Queenstown
279,280,1,3,female,35.0,20.25,Southhampton
280,281,0,3,male,65.0,7.75,Queenstown
281,282,0,3,male,28.0,7.8542,Southhampton
282,283,0,3,male,16.0,9.5,Southhampton
283,284,1,3,male,19.0,8.05,Southhampton
284,285,0,1,male,,26.0,Southhampton
285,286,0,3,male,33.0,8.6625,Cherbourg
286,287,1,3,male,30.0,9.5,Southhampton
287,288,0,3,male,22.0,7.8958,Southhampton
288,289,1,2,male,42.0,13.0,Southhampton
289,290,1,3,female,22.0,7.75,Queenstown
290,291,1,1,female,26.0,78.85,Southhampton
291,292,1,1,female,19.0,91.0792,Cherbourg
292,293,0,2,male,36.0,12.875,Cherbourg
293,294,0,3,female,24.0,8.85,Southhampton
294,295,0,3,male,24.0,7.8958,Southhampton
295,296,0,1,male,,27.7208,Cherbourg
296,297,0,3,male,23.5,7.2292,Cherbourg
297,298,0,1,female,2.0,151.55,Southhampton
298,299,1,1,male,,30.5,Southhampton
299,300,1,1,female,50.0,247.5208,Cherbourg
300,301,1,3,female,,7.75,Queenstown
301,302,1,3,male,,23.25,Queenstown
302,303,0,3,male,19.0,0.0,Southhampton
303,304,1,2,female,,12.35,Queenstown
304,305,0,3,male,,8.05,Southhampton
305,306,1,1,male,0.92,151.55,Southhampton
306,307,1,1,female,,110.8833,Cherbourg
307,308,1,1,female,17.0,108.9,Cherbourg
308,309,0,2,male,30.0,24.0,Cherbourg
309,310,1,1,female,30.0,56.9292,Cherbourg
310,311,1,1,female,24.0,83.1583,Cherbourg
311,312,1,1,female,18.0,262.375,Cherbourg
312,313,0,2,female,26.0,26.0,Southhampton
313,314,0,3,male,28.0,7.8958,Southhampton
314,315,0,2,male,43.0,26.25,Southhampton
315,316,1,3,female,26.0,7.8542,Southhampton
316,317,1,2,female,24.0,26.0,Southhampton
317,318,0,2,male,54.0,14.0,Southhampton
318,319,1,1,female,31.0,164.8667,Southhampton
319,320,1,1,female,40.0,134.5,Cherbourg
320,321,0,3,male,22.0,7.25,Southhampton
321,322,0,3,male,27.0,7.8958,Southhampton
322,323,1,2,female,30.0,12.35,Queenstown
323,324,1,2,female,22.0,29.0,Southhampton
324,325,0,3,male,,69.55,Southhampton
325,326,1,1,female,36.0,135.6333,Cherbourg
326,327,0,3,male,61.0,6.2375,Southhampton
327,328,1,2,female,36.0,13.0,Southhampton
328,329,1,3,female,31.0,20.525,Southhampton
329,330,1,1,female,16.0,57.9792,Cherbourg
330,331,1,3,female,,23.25,Queenstown
331,332,0,1,male,45.5,28.5,Southhampton
332,333,0,1,male,38.0,153.4625,Southhampton
333,334,0,3,male,16.0,18.0,Southhampton
334,335,1,1,female,,133.65,Southhampton
335,336,0,3,male,,7.8958,Southhampton
336,337,0,1,male,29.0,66.6,Southhampton
337,338,1,1,female,41.0,134.5,Cherbourg
338,339,1,3,male,45.0,8.05,Southhampton
339,340,0,1,male,45.0,35.5,Southhampton
340,341,1,2,male,2.0,26.0,Southhampton
341,342,1,1,female,24.0,263.0,Southhampton
342,343,0,2,male,28.0,13.0,Southhampton
343,344,0,2,male,25.0,13.0,Southhampton
344,345,0,2,male,36.0,13.0,Southhampton
345,346,1,2,female,24.0,13.0,Southhampton
346,347,1,2,female,40.0,13.0,Southhampton
347,348,1,3,female,,16.1,Southhampton
348,349,1,3,male,3.0,15.9,Southhampton
349,350,0,3,male,42.0,8.6625,Southhampton
350,351,0,3,male,23.0,9.225,Southhampton
351,352,0,1,male,,35.0,Southhampton
352,353,0,3,male,15.0,7.2292,Cherbourg
353,354,0,3,male,25.0,17.8,Southhampton
354,355,0,3,male,,7.225,Cherbourg
355,356,0,3,male,28.0,9.5,Southhampton
356,357,1,1,female,22.0,55.0,Southhampton
357,358,0,2,female,38.0,13.0,Southhampton
358,359,1,3,female,,7.8792,Queenstown
359,360,1,3,female,,7.8792,Queenstown
360,361,0,3,male,40.0,27.9,Southhampton
361,362,0,2,male,29.0,27.7208,Cherbourg
362,363,0,3,female,45.0,14.4542,Cherbourg
363,364,0,3,male,35.0,7.05,Southhampton
364,365,0,3,male,,15.5,Queenstown
365,366,0,3,male,30.0,7.25,Southhampton
366,367,1,1,female,60.0,75.25,Cherbourg
367,368,1,3,female,,7.2292,Cherbourg
368,369,1,3,female,,7.75,Queenstown
369,370,1,1,female,24.0,69.3,Cherbourg
370,371,1,1,male,25.0,55.4417,Cherbourg
371,372,0,3,male,18.0,6.4958,Southhampton
372,373,0,3,male,19.0,8.05,Southhampton
373,374,0,1,male,22.0,135.6333,Cherbourg
374,375,0,3,female,3.0,21.075,Southhampton
375,376,1,1,female,,82.1708,Cherbourg
376,377,1,3,female,22.0,7.25,Southhampton
377,378,0,1,male,27.0,211.5,Cherbourg
378,379,0,3,male,20.0,4.0125,Cherbourg
379,380,0,3,male,19.0,7.775,Southhampton
380,381,1,1,female,42.0,227.525,Cherbourg
381,382,1,3,female,1.0,15.7417,Cherbourg
382,383,0,3,male,32.0,7.925,Southhampton
383,384,1,1,female,35.0,52.0,Southhampton
384,385,0,3,male,,7.8958,Southhampton
385,386,0,2,male,18.0,73.5,Southhampton
386,387,0,3,male,1.0,46.9,Southhampton
387,388,1,2,female,36.0,13.0,Southhampton
388,389,0,3,male,,7.7292,Queenstown
389,390,1,2,female,17.0,12.0,Cherbourg
390,391,1,1,male,36.0,120.0,Southhampton
391,392,1,3,male,21.0,7.7958,Southhampton
392,393,0,3,male,28.0,7.925,Southhampton
393,394,1,1,female,23.0,113.275,Cherbourg
394,395,1,3,female,24.0,16.7,Southhampton
395,396,0,3,male,22.0,7.7958,Southhampton
396,397,0,3,female,31.0,7.8542,Southhampton
397,398,0,2,male,46.0,26.0,Southhampton
398,399,0,2,male,23.0,10.5,Southhampton
399,400,1,2,female,28.0,12.65,Southhampton
400,401,1,3,male,39.0,7.925,Southhampton
401,402,0,3,male,26.0,8.05,Southhampton
402,403,0,3,female,21.0,9.825,Southhampton
403,404,0,3,male,28.0,15.85,Southhampton
404,405,0,3,female,20.0,8.6625,Southhampton
405,406,0,2,male,34.0,21.0,Southhampton
406,407,0,3,male,51.0,7.75,Southhampton
407,408,1,2,male,3.0,18.75,Southhampton
408,409,0,3,male,21.0,7.775,Southhampton
409,410,0,3,female,,25.4667,Southhampton
410,411,0,3,male,,7.8958,Southhampton
411,412,0,3,male,,6.8583,Queenstown
412,413,1,1,female,33.0,90.0,Queenstown
413,414,0,2,male,,0.0,Southhampton
414,415,1,3,male,44.0,7.925,Southhampton
415,416,0,3,female,,8.05,Southhampton
416,417,1,2,female,34.0,32.5,Southhampton
417,418,1,2,female,18.0,13.0,Southhampton
418,419,0,2,male,30.0,13.0,Southhampton
419,420,0,3,female,10.0,24.15,Southhampton
420,421,0,3,male,,7.8958,Cherbourg
421,422,0,3,male,21.0,7.7333,Queenstown
422,423,0,3,male,29.0,7.875,Southhampton
423,424,0,3,female,28.0,14.4,Southhampton
424,425,0,3,male,18.0,20.2125,Southhampton
425,426,0,3,male,,7.25,Southhampton
426,427,1,2,female,28.0,26.0,Southhampton
427,428,1,2,female,19.0,26.0,Southhampton
428,429,0,3,male,,7.75,Queenstown
429,430,1,3,male,32.0,8.05,Southhampton
430,431,1,1,male,28.0,26.55,Southhampton
431,432,1,3,female,,16.1,Southhampton
432,433,1,2,female,42.0,26.0,Southhampton
433,434,0,3,male,17.0,7.125,Southhampton
434,435,0,1,male,50.0,55.9,Southhampton
435,436,1,1,female,14.0,120.0,Southhampton
436,437,0,3,female,21.0,34.375,Southhampton
437,438,1,2,female,24.0,18.75,Southhampton
438,439,0,1,male,64.0,263.0,Southhampton
439,440,0,2,male,31.0,10.5,Southhampton
440,441,1,2,female,45.0,26.25,Southhampton
441,442,0,3,male,20.0,9.5,Southhampton
442,443,0,3,male,25.0,7.775,Southhampton
443,444,1,2,female,28.0,13.0,Southhampton
444,445,1,3,male,,8.1125,Southhampton
445,446,1,1,male,4.0,81.8583,Southhampton
446,447,1,2,female,13.0,19.5,Southhampton
447,448,1,1,male,34.0,26.55,Southhampton
448,449,1,3,female,5.0,19.2583,Cherbourg
449,450,1,1,male,52.0,30.5,Southhampton
450,451,0,2,male,36.0,27.75,Southhampton
451,452,0,3,male,,19.9667,Southhampton
452,453,0,1,male,30.0,27.75,Cherbourg
453,454,1,1,male,49.0,89.1042,Cherbourg
454,455,0,3,male,,8.05,Southhampton
455,456,1,3,male,29.0,7.8958,Cherbourg
456,457,0,1,male,65.0,26.55,Southhampton
457,458,1,1,female,,51.8625,Southhampton
458,459,1,2,female,50.0,10.5,Southhampton
459,460,0,3,male,,7.75,Queenstown
460,461,1,1,male,48.0,26.55,Southhampton
461,462,0,3,male,34.0,8.05,Southhampton
462,463,0,1,male,47.0,38.5,Southhampton
463,464,0,2,male,48.0,13.0,Southhampton
464,465,0,3,male,,8.05,Southhampton
465,466,0,3,male,38.0,7.05,Southhampton
466,467,0,2,male,,0.0,Southhampton
467,468,0,1,male,56.0,26.55,Southhampton
468,469,0,3,male,,7.725,Queenstown
469,470,1,3,female,0.75,19.2583,Cherbourg
470,471,0,3,male,,7.25,Southhampton
471,472,0,3,male,38.0,8.6625,Southhampton
472,473,1,2,female,33.0,27.75,Southhampton
473,474,1,2,female,23.0,13.7917,Cherbourg
474,475,0,3,female,22.0,9.8375,Southhampton
475,476,0,1,male,,52.0,Southhampton
476,477,0,2,male,34.0,21.0,Southhampton
477,478,0,3,male,29.0,7.0458,Southhampton
478,479,0,3,male,22.0,7.5208,Southhampton
479,480,1,3,female,2.0,12.2875,Southhampton
480,481,0,3,male,9.0,46.9,Southhampton
481,482,0,2,male,,0.0,Southhampton
482,483,0,3,male,50.0,8.05,Southhampton
483,484,1,3,female,63.0,9.5875,Southhampton
484,485,1,1,male,25.0,91.0792,Cherbourg
485,486,0,3,female,,25.4667,Southhampton
486,487,1,1,female,35.0,90.0,Southhampton
487,488,0,1,male,58.0,29.7,Cherbourg
488,489,0,3,male,30.0,8.05,Southhampton
489,490,1,3,male,9.0,15.9,Southhampton
490,491,0,3,male,,19.9667,Southhampton
491,492,0,3,male,21.0,7.25,Southhampton
492,493,0,1,male,55.0,30.5,Southhampton
493,494,0,1,male,71.0,49.5042,Cherbourg
494,495,0,3,male,21.0,8.05,Southhampton
495,496,0,3,male,,14.4583,Cherbourg
496,497,1,1,female,54.0,78.2667,Cherbourg
497,498,0,3,male,,15.1,Southhampton
498,499,0,1,female,25.0,151.55,Southhampton
499,500,0,3,male,24.0,7.7958,Southhampton
500,501,0,3,male,17.0,8.6625,Southhampton
501,502,0,3,female,21.0,7.75,Queenstown
502,503,0,3,female,,7.6292,Queenstown
503,504,0,3,female,37.0,9.5875,Southhampton
504,505,1,1,female,16.0,86.5,Southhampton
505,506,0,1,male,18.0,108.9,Cherbourg
506,507,1,2,female,33.0,26.0,Southhampton
507,508,1,1,male,,26.55,Southhampton
508,509,0,3,male,28.0,22.525,Southhampton
509,510,1,3,male,26.0,56.4958,Southhampton
510,511,1,3,male,29.0,7.75,Queenstown
511,512,0,3,male,,8.05,Southhampton
512,513,1,1,male,36.0,26.2875,Southhampton
513,514,1,1,female,54.0,59.4,Cherbourg
514,515,0,3,male,24.0,7.4958,Southhampton
515,516,0,1,male,47.0,34.0208,Southhampton
516,517,1,2,female,34.0,10.5,Southhampton
517,518,0,3,male,,24.15,Queenstown
518,519,1,2,female,36.0,26.0,Southhampton
519,520,0,3,male,32.0,7.8958,Southhampton
520,521,1,1,female,30.0,93.5,Southhampton
521,522,0,3,male,22.0,7.8958,Southhampton
522,523,0,3,male,,7.225,Cherbourg
523,524,1,1,female,44.0,57.9792,Cherbourg
524,525,0,3,male,,7.2292,Cherbourg
525,526,0,3,male,40.5,7.75,Queenstown
526,527,1,2,female,50.0,10.5,Southhampton
527,528,0,1,male,,221.7792,Southhampton
528,529,0,3,male,39.0,7.925,Southhampton
529,530,0,2,male,23.0,11.5,Southhampton
530,531,1,2,female,2.0,26.0,Southhampton
531,532,0,3,male,,7.2292,Cherbourg
532,533,0,3,male,17.0,7.2292,Cherbourg
533,534,1,3,female,,22.3583,Cherbourg
534,535,0,3,female,30.0,8.6625,Southhampton
535,536,1,2,female,7.0,26.25,Southhampton
536,537,0,1,male,45.0,26.55,Southhampton
537,538,1,1,female,30.0,106.425,Cherbourg
538,539,0,3,male,,14.5,Southhampton
539,540,1,1,female,22.0,49.5,Cherbourg
540,541,1,1,female,36.0,71.0,Southhampton
541,542,0,3,female,9.0,31.275,Southhampton
542,543,0,3,female,11.0,31.275,Southhampton
543,544,1,2,male,32.0,26.0,Southhampton
544,545,0,1,male,50.0,106.425,Cherbourg
545,546,0,1,male,64.0,26.0,Southhampton
546,547,1,2,female,19.0,26.0,Southhampton
547,548,1,2,male,,13.8625,Cherbourg
548,549,0,3,male,33.0,20.525,Southhampton
549,550,1,2,male,8.0,36.75,Southhampton
550,551,1,1,male,17.0,110.8833,Cherbourg
551,552,0,2,male,27.0,26.0,Southhampton
552,553,0,3,male,,7.8292,Queenstown
553,554,1,3,male,22.0,7.225,Cherbourg
554,555,1,3,female,22.0,7.775,Southhampton
555,556,0,1,male,62.0,26.55,Southhampton
556,557,1,1,female,48.0,39.6,Cherbourg
557,558,0,1,male,,227.525,Cherbourg
558,559,1,1,female,39.0,79.65,Southhampton
559,560,1,3,female,36.0,17.4,Southhampton
560,561,0,3,male,,7.75,Queenstown
561,562,0,3,male,40.0,7.8958,Southhampton
562,563,0,2,male,28.0,13.5,Southhampton
563,564,0,3,male,,8.05,Southhampton
564,565,0,3,female,,8.05,Southhampton
565,566,0,3,male,24.0,24.15,Southhampton
566,567,0,3,male,19.0,7.8958,Southhampton
567,568,0,3,female,29.0,21.075,Southhampton
568,569,0,3,male,,7.2292,Cherbourg
569,570,1,3,male,32.0,7.8542,Southhampton
570,571,1,2,male,62.0,10.5,Southhampton
571,572,1,1,female,53.0,51.4792,Southhampton
572,573,1,1,male,36.0,26.3875,Southhampton
573,574,1,3,female,,7.75,Queenstown
574,575,0,3,male,16.0,8.05,Southhampton
575,576,0,3,male,19.0,14.5,Southhampton
576,577,1,2,female,34.0,13.0,Southhampton
577,578,1,1,female,39.0,55.9,Southhampton
578,579,0,3,female,,14.4583,Cherbourg
579,580,1,3,male,32.0,7.925,Southhampton
580,581,1,2,female,25.0,30.0,Southhampton
581,582,1,1,female,39.0,110.8833,Cherbourg
582,583,0,2,male,54.0,26.0,Southhampton
